id,art,description,educational,favourite,in_car,indoor,max_time,min_time,more,motion,name,one,outdoor,summer,two,winter
259,false,"Pływanie na krytym basenie. Przydatne: strój, klapki, okulary, ręcznik, szampon, karnet",true,false,false,true,180,120,true,true,Basen kryty,true,false,true,true,true
260,false,"Pływanie na krytym basenie. Przydatne: strój, klapki, okulary, ręcznik, szampon, karnet",true,false,false,false,300,120,true,true,Basen odkryty,true,true,true,true,false
261,true,Uczestnik za pomocą mimiki i mowy ciała musi przedstawić zgadywane hasło. Nie może się przy tym odzywać. Przydatne: karteczki z hasłami,true,false,false,true,60,15,true,false,Kalambury pokazywane,false,true,true,true,true
262,false,Uczestnik przedstawia hasło za pomocą słów. Przydatne: karteczki z hasłami.,true,false,false,true,60,15,true,false,Kalambury mówione,false,true,true,true,true
263,true,"Uczestnik musi przedstawić hasło graficznie. Podczas rysowania nie może nic mówić. Przydatne: karteczki z hasłami, pisak, kartki papieru, taśma do ściany lub stojak na papier (flipchart).",true,false,false,true,60,15,true,false,Kalambury rysowane,false,true,true,true,true
265,true,"Kartki, kredki, farby, długopisy, etc.",false,false,false,true,60,15,true,false,Rysowanie/malowanie,true,true,true,true,true
266,true,Przydatne: puzzle.,true,false,false,true,60,15,true,false,Puzzle,true,false,true,true,true
267,false,"Przydatne: książki, czasopisma.",true,false,true,true,60,15,true,false,Czytanie,true,true,true,true,true
268,false,"Starsze dzieci mogą liczyć np. krowy. Młodsze, które jeszcze tego nie umieją, mogą ich po prostu wypatrywać. A liczyć można wszystko: panie w spódnicach lub panów na rowerze, znaki drogowe lub przejazdy kolejowe (do auta)",true,false,true,false,60,15,true,false,Liczenie wybranych rzeczy,true,true,true,true,true
269,false,"Wycieczki rowerowe, jazda rowerem koło domu",false,false,false,false,120,30,true,true,Rower,true,true,true,true,false
550,false,"Cudowna forma sportu rozwijająca sprawność ruchową oraz kontakt z naturą. Potrzebne: szkółka jeździecka, instruktor, toczek, opłata za jazdę konną",false,false,false,false,120,90,false,true,Nauka jazdy konnej,true,true,true,true,true
551,false,"Kontakt z naturą w czystej postaci... Zdrowy wysiłek w ciągu dnia - spokojny sen nocą;) Potrzebne: Dobra pogoda, wygodne buty, prowiant, kurtki przeciwdeszczowe, czapki z daszkiem",false,false,false,false,300,90,true,true,Wycieczka w góry lub do lasu,false,true,true,true,false
552,false,"Pobudzające myślenie i rozpalające emocje. Wśród setek gier planszowych na pewno znjdą się takie, które przypadną do gustu młodszym i starszym graczom jednocześnie. Potrzebne: planszówki, czas",true,false,false,true,120,30,true,false,Gry planszowe,false,false,true,true,true
553,false,"Jedna z najstarszych klasycznych gier, która wpływa na rozwój logicznego myślenia. Potrzebne: szachownica, bierki, partner do gry (ewentualnie program komputerowy)",true,false,false,true,120,15,false,false,Szachy/warcaby,false,true,true,true,true
554,false,"Szczególnie przydatne dla małych dzieci z rodzicami. Potrzebne: zabawki do piaskownicy, kreda do malowania asfaltu, chusteczki nawilżane do wytarcia szczęśliwych rączek",false,false,false,false,120,30,true,true,Plac zabaw,false,true,true,true,false
555,false,Dobre filmy rozwijają wyobraźnię i pomagają zrozumieć świat jedocześnie wzbudzając cudowne emocje. Potrzebne: bilety,true,false,false,true,180,120,true,false,Seans w kinie,false,false,true,true,true
556,false,Kontakt z żywą sztuką trudno jest zastąpić nawet najlepszym filmem. Wyjście do teatru na pewno będzie czymś wyjątkowym dla Twojego dziecka. Potrzebne: bilety,true,false,false,true,180,120,true,false,Występ teatralny,false,false,true,true,true
